name,popularity,cumulative
Payton,0.008178,114.414457
Kurtis,0.008173,114.42263
Waldo,0.008156,114.430786
Noe,0.008143,114.438929
Cliff,0.008113,114.447042
Adolfo,0.008098,114.45514
Patsy,0.008071,114.463211
Rodrigo,0.008047,114.471258
Benito,0.008039,114.479297
Arther,0.007985,114.487282
Berry,0.007979,114.495261
Dion,0.007963,114.503224
Bernie,0.007865,114.511089
Lavern,0.007846,114.518935
Wilton,0.007836,114.526771
Lacy,0.007789,114.53456
Cleve,0.007668,114.542228
Pierce,0.007651,114.549879
Denny,0.007637,114.557516
Chas,0.007594,114.56511
Otha,0.00755,114.57266
Valentine,0.007542,114.580202
Hoyt,0.007531,114.587733
Efrain,0.007521,114.595254
Shelton,0.007491,114.602745
Connie,0.007484,114.610229
Rickie,0.007479,114.617708
Humberto,0.007462,114.62517
Mitchel,0.007451,114.632621
Nikolas,0.007432,114.640053
Gustav,0.007427,114.64748
Olen,0.007423,114.654903
Lucian,0.00742,114.662323
Zackery,0.007415,114.669738
Cletus,0.007394,114.677132
Dorian,0.00739,114.684522
Mauricio,0.007365,114.691887
Gerry,0.007357,114.699244
Kristian,0.007354,114.706598
Hardy,0.007352,114.71395
Reese,0.007333,114.721283
Abner,0.007306,114.728589
Palmer,0.0073,114.735889
Nathanael,0.007297,114.743186
Emmitt,0.007279,114.750465
Buck,0.007268,114.757733
Otho,0.007219,114.764952
Rubin,0.007214,114.772166
Frances,0.007191,114.779357
